"country","capital","latitude","longitude","closest_capital","farthest_capital"
"Afghanistan","Kabul",34.53,69.17,"Islamabad","Adamstown"
"Albania","Tirana",41.33,19.82,"Podgorica","Wellington"
"Algeria","Algiers",36.75,3.04,"Tunis","Wellington"
"American Samoa","Pago Pago",-14.28,-170.7,"Apia","Abuja"
"Andorra","Andorra la Vella",42.51,1.52,"Madrid","Wellington"
"Angola","Luanda",-8.84,13.23,"Kinshasa","Yaren"
"Anguilla","The Valley",18.22,-63.06,"Marigot","Dili"
"Antigua and Barbuda","St. John's",17.12,-61.85,"Plymouth","Dili"
"Argentina","Buenos Aires",-34.61,-58.38,"Montevideo","Seoul"
"Armenia","Yerevan",40.18,44.51,"Tbilisi","Adamstown"
"Aruba","Oranjestad",12.52,-70.03,"Caracas","The Settlement"
"Australia","Canberra",-35.28,149.13,"Kingston","El Aai�n"
"Austria","Vienna",48.21,16.37,"Bratislava","Wellington"
"Azerbaijan","Baku",40.38,49.89,"Tbilisi","Adamstown"
"Bahamas","Nassau",25.06,-77.34,"Havana","West Island"
"Bahrain","Manama",26.22,50.58,"Doha","Adamstown"
"Bangladesh","Dhaka",23.71,90.41,"Thimphu","Lima"
"Barbados","Bridgetown",13.1,-59.62,"Kingstown","Dili"
"Belarus","Minsk",53.9,27.57,"Vilnius","Wellington"
"Belgium","Brussels",50.85,4.35,"Amsterdam","Wellington"
"Belize","Belmopan",17.25,-88.77,"New Guatemala","West Island"
"Benin","Porto-Novo",6.5,2.6,"Lom�","Funafuti"
"Bermuda","Hamilton",32.29,-64.78,"Washington","The Settlement"
"Bhutan","Thimphu",27.47,89.64,"Dhaka","Santiago"
"Bolivia","Sucre",-19.03,-65.26,"Asunci�n","Hong Kong"
"Bosnia and Herzegovina","Sarajevo",43.85,18.36,"Podgorica","Wellington"
"Botswana","Gaborone",-24.65,25.91,"Pretoria","Yaren"
"Brazil","Bras�lia",-15.78,-47.93,"Asunci�n","Melekeok"
"British Indian Ocean Territory","Diego Garcia",72.46,7.24,"Longyearbyen","Wellington"
"British Virgin Islands","Road Town",18.42,-64.62,"Charlotte Amalie","The Settlement"
"Brunei","Bandar Seri Begawan",4.94,114.95,"Manila","Bogot�"
"Bulgaria","Sofia",42.7,23.32,"Skopje","Wellington"
"Burkina Faso","Ouagadougou",12.37,-1.53,"Niamey","Funafuti"
"Burundi","Bujumbura",-3.38,29.36,"Kigali","Papeete"
"Cambodia","Phnom Penh",11.56,104.92,"Bangkok","Lima"
"Cameroon","Yaound�",3.87,11.52,"Malabo","Apia"
"Canada","Ottawa",45.41,-75.7,"Washington","West Island"
"Cape Verde","Praia",14.93,-23.51,"Dakar","Honiara"
"Cayman Islands","George Town",19.29,-81.37,"Havana","West Island"
"Central African Republic","Bangui",4.36,18.55,"Yaound�","Pago Pago"
"Chad","N'Djamena",12.11,15.04,"Abuja","Pago Pago"
"Chile","Santiago",-33.46,-70.65,"Buenos Aires","Santiago"
"China","Beijing",39.91,116.4,"Pyongyang","Buenos Aires"
"Christmas Island","The Settlement",-10.42,105.68,"Jakarta","Oranjestad"
"Cocos Islands","West Island",-12.16,96.82,"The Settlement","San Jos�"
"Colombia","Bogot�",4.61,-74.08,"Quito","Jakarta"
"Comoros","Moroni",-11.7,43.26,"Mamoutzou","Papeete"
"Cook Islands","Avarua",-21.21,-159.78,"Alofi","N'Djamena"
"Costa Rica","San Jos�",9.93,-84.08,"Managua","West Island"
"Croatia","Zagreb",45.81,15.98,"Ljubljana","Wellington"
"Cuba","Havana",23.13,-82.38,"George Town","West Island"
"Cyprus","Nicosia",35.17,33.37,"Jerusalem","Adamstown"
"Czech Republic","Prague",50.09,14.42,"Vienna","Wellington"
"Democratic Republic of the Congo","Kinshasa",-4.32,15.31,"Brazzaville","Yaren"
"Denmark","Copenhagen",55.68,12.57,"Berlin","Wellington"
"Djibouti","Djibouti",11.59,43.15,"Sanaa","Papeete"
"Dominica","Roseau",15.3,-61.39,"Fort-de-France","Dili"
"Dominican Republic","Santo Domingo",18.5,-69.99,"Port-au-Prince","The Settlement"
"East Timor","Dili",-8.56,125.57,"Bandar Seri Begawan","Paramaribo"
"Ecuador","Quito",-0.23,-78.52,"Bogot�","Singapore"
"Egypt","Cairo",30.06,31.25,"Amman","Papeete"
"El Salvador","San Salvador",13.69,-89.19,"New Guatemala","West Island"
"Equatorial Guinea","Malabo",3.75,8.78,"Yaound�","Apia"
"Eritrea","Asmara",15.33,38.93,"Sanaa","Papeete"
"Estonia","Tallinn",59.44,24.75,"Helsinki","Wellington"
"Ethiopia","Addis Ababa",9.02,38.75,"Djibouti","Papeete"
